Date,Description,Debit,Credit,Balance
2026-02-15,Deposit 44,,1387.6,88515.36
2026-02-16,Payment 45,541.02,,87974.34
2026-02-17,Deposit 46,,4481.79,92456.13
2026-02-18,Payment 47,1812.71,,90643.42
2026-02-19,Payment 48,919.82,,89723.60
2026-02-20,Deposit 49,,8862.81,98586.41
2026-02-21,Deposit 50,,3023.67,101610.08
2026-02-22,Deposit 51,,6387.31,107997.39
2026-02-23,Payment 52,1412.57,,106584.82
2026-02-24,Deposit 53,,8070.18,114655.00
2026-02-25,Payment 54,1025.7,,113629.30
2026-02-26,Payment 55,840.36,,112788.94
2026-02-27,Deposit 56,,3477.45,116266.39
2026-02-28,Deposit 57,,6279.76,122546.15
2026-03-01,Deposit 58,,1008.76,123554.91
2026-03-02,Payment 59,1134.61,,122420.30
2026-03-03,Payment 60,2109.81,,120310.49
2026-03-04,Payment 61,1522.29,,118788.20
2026-03-05,Payment 62,1938.58,,116849.62
2026-03-06,Deposit 63,,5865.64,122715.26
2026-03-07,Payment 64,1147.21,,121568.05
2026-03-08,Payment 65,1087.72,,120480.33
2026-03-09,Deposit 66,,5286.68,125767.01
2026-03-10,Deposit 67,,3908.76,129675.77
2026-03-11,Deposit 68,,2428.07,132103.84
2026-03-12,Deposit 69,,8326.99,140430.83
2026-03-13,Payment 70,306.0,,140124.83
2026-03-14,Deposit 71,,1337.26,141462.09
2026-03-15,Deposit 72,,2385.11,143847.20
2026-03-16,Deposit 73,,2892.91,146740.11
2026-03-17,Deposit 74,,8777.02,155517.13
2026-03-18,Payment 75,939.62,,154577.51
2026-03-19,Deposit 76,,4369.13,158946.64
2026-03-20,Deposit 77,,7418.09,166364.73
2026-03-21,Deposit 78,,4506.09,170870.82
2026-03-22,Payment 79,927.0,,169943.82
2026-03-23,Payment 80,688.4,,169255.42
2026-03-24,Deposit 81,,4603.59,173859.01
2026-03-25,Deposit 82,,6830.78,180689.79
2026-03-26,Deposit 83,,6513.98,187203.77
2026-03-27,Payment 84,2188.89,,185014.88
2026-03-28,Payment 85,982.22,,184032.66
2026-03-29,Payment 86,183.36,,183849.30
2026-03-30,Deposit 87,,2023.83,185873.13
2026-03-31,Payment 88,1235.02,,184638.11
2026-04-01,Payment 89,22.54,,184615.57
2026-04-02,Payment 90,774.71,,183840.86
2026-04-03,Payment 91,1081.88,,182758.98
2026-04-04,Payment 92,751.96,,182007.02
2026-04-05,Payment 93,1935.15,,180071.87
2026-04-06,Deposit 94,,8862.14,188934.01
2026-04-07,Payment 95,1836.04,,187097.97
2026-04-08,Payment 96,1489.18,,185608.79
2026-04-09,Deposit 97,,1093.21,186702.00
2026-04-10,Payment 98,1701.33,,185000.67
2026-04-11,Payment 99,675.71,,184324.96
2026-04-12,Deposit 100,,5987.89,190312.85
2026-04-13,Deposit 101,,1786.06,192098.91
2026-04-14,Payment 102,581.88,,191517.03
2026-04-15,Payment 103,958.82,,190558.21
2026-04-16,Payment 104,701.72,,189856.49
2026-04-17,Deposit 105,,5005.99,194862.48
2026-04-18,Deposit 106,,6779.63,201642.11
2026-04-19,Payment 107,532.56,,201109.55
2026-04-20,Payment 108,372.68,,200736.87
2026-04-21,Payment 109,1648.76,,199088.11
2026-04-22,Payment 110,1037.27,,198050.84
2026-04-23,Payment 111,570.14,,197480.70
2026-04-24,Deposit 112,,4306.26,201786.96
2026-04-25,Deposit 113,,3440.71,205227.67
2026-04-26,Deposit 114,,3095.16,208322.83
2026-04-27,Payment 115,358.54,,207964.29
2026-04-28,Deposit 116,,3707.8,211672.09
2026-04-29,Payment 117,1789.03,,209883.06
2026-04-30,Payment 118,1744.85,,208138.21
2026-05-01,Deposit 119,,2115.32,210253.53
2026-05-02,Deposit 120,,7638.9,217892.43
2026-05-03,Deposit 121,,828.19,218720.62
2026-05-04,Payment 122,1264.23,,217456.39
2026-05-05,Deposit 123,,5810.35,223266.74
2026-05-06,Payment 124,741.72,,222525.02
2026-05-07,Deposit 125,,2076.89,224601.91
2026-05-08,Deposit 126,,1372.14,225974.05
2026-05-09,Deposit 127,,8385.1,234359.15
2026-05-10,Payment 128,1318.59,,233040.56
2026-05-11,Payment 129,1121.37,,231919.19
2026-05-12,Deposit 130,,7420.2,239339.39
2026-05-13,Payment 131,1826.29,,237513.10
2026-05-14,Deposit 132,,8930.77,246443.87
2026-05-15,Payment 133,1358.79,,245085.08
2026-05-16,Payment 134,202.21,,244882.87
2026-05-17,Payment 135,1764.29,,243118.58
2026-05-18,Payment 136,2396.15,,240722.43
2026-05-19,Deposit 137,,7881.06,248603.49
2026-05-20,Deposit 138,,7201.9,255805.39
2026-05-21,Payment 139,1035.08,,254770.31
2026-05-22,Deposit 140,,1083.94,255854.25
2026-05-23,Deposit 141,,4378.09,260232.34
2026-05-24,Payment 142,564.3,,259668.04
2026-05-25,Payment 143,1150.34,,258517.70
2026-05-26,Deposit 144,,8893.69,267411.39
2026-05-27,Deposit 145,,2906.76,270318.15
2026-05-28,Payment 146,783.41,,269534.74
2026-05-29,Payment 147,1712.41,,267822.33
2026-05-30,Payment 148,2251.16,,265571.17
2026-05-31,Deposit 149,,4208.23,269779.40
2026-06-01,Payment 150,1334.83,,268444.57
2026-06-02,Payment 151,302.09,,268142.48
2026-06-03,Payment 152,1509.78,,266632.70
2026-06-04,Deposit 153,,5862.63,272495.33
2026-06-05,Deposit 154,,1959.83,274455.16
2026-06-06,Deposit 155,,870.5,275325.66
2026-06-07,Payment 156,2006.55,,273319.11
2026-06-08,Deposit 157,,7881.07,281200.18
2026-06-09,Payment 158,1415.71,,279784.47
2026-06-10,Payment 159,2249.37,,277535.10
