Date,Open,High,Low,Close,Volume
2026-03-19,45.14,46.78,45.05,46.33,468680
2026-03-20,46.33,46.52,46.31,46.46,830311
2026-03-21,46.46,46.81,44.71,45.62,211954
2026-03-22,45.62,47.35,44.50,46.68,634368
2026-03-23,46.68,47.80,44.77,45.88,389014
2026-03-24,45.88,46.40,44.92,46.13,708200
2026-03-25,46.13,47.04,45.73,46.74,315217
2026-03-26,46.74,47.25,45.14,45.51,428287
2026-03-27,45.51,46.38,45.02,45.43,655638
2026-03-28,45.43,46.06,43.81,44.23,510624
2026-03-29,44.23,44.78,43.49,44.14,154170
2026-03-30,44.14,45.97,43.68,45.17,673693
2026-03-31,45.17,45.75,43.33,43.92,774523
2026-04-01,43.92,45.56,43.80,45.27,895632
2026-04-02,45.27,47.93,44.78,46.77,571751
2026-04-03,46.77,48.48,46.45,48.07,879359
2026-04-04,48.07,49.85,47.55,49.12,274287
2026-04-05,49.12,50.08,48.17,49.66,618509
2026-04-06,49.66,50.50,49.07,50.38,570602
2026-04-07,50.38,52.36,50.04,51.19,118951
2026-04-08,51.19,52.14,49.34,50.43,185817
2026-04-09,50.43,51.33,48.92,48.99,150984
2026-04-10,48.99,51.30,48.36,50.39,116437
2026-04-11,50.39,50.98,49.29,49.73,336739
2026-04-12,49.73,50.34,49.47,50.12,892712
2026-04-13,50.12,50.72,49.95,50.48,309872
2026-04-14,50.48,51.72,49.96,50.55,390345
2026-04-15,50.55,52.30,49.72,51.35,569570
2026-04-16,51.35,52.57,51.08,51.42,597250
2026-04-17,51.42,51.91,48.99,49.96,156669
2026-04-18,49.96,50.63,48.44,49.17,827185
2026-04-19,49.17,50.97,48.27,50.31,559548
2026-04-20,50.31,50.65,50.27,50.44,762571
2026-04-21,50.44,51.38,49.41,50.04,310894
2026-04-22,50.04,50.84,49.33,50.06,658213
2026-04-23,50.06,50.46,48.23,49.06,231087
2026-04-24,49.06,50.39,48.02,49.34,424172
2026-04-25,49.34,51.94,49.31,50.93,883741
2026-04-26,50.93,52.92,50.92,52.42,348654
2026-04-27,52.42,54.71,51.55,53.89,381762
2026-04-28,53.89,54.09,52.70,53.71,869796
2026-04-29,53.71,54.31,53.22,53.29,411998
2026-04-30,53.29,53.63,51.64,51.96,785765
2026-05-01,51.96,52.09,49.48,50.60,815419
2026-05-02,50.60,51.38,48.72,49.22,313306
2026-05-03,49.22,49.40,48.06,49.11,532062
2026-05-04,49.11,49.58,48.45,48.46,872760
2026-05-05,48.46,50.45,47.86,49.91,715167
2026-05-06,49.91,50.29,48.35,48.53,788992
2026-05-07,48.53,50.20,47.70,49.89,551286
2026-05-08,49.89,52.37,48.82,51.29,633740
2026-05-09,51.29,52.04,49.80,50.16,855900
2026-05-10,50.16,51.10,48.94,49.15,353796
2026-05-11,49.15,49.85,48.42,49.03,121157
