order_id,customer_id,order_date,amount
O168,C14,2026-03-08,533.04
O169,C9,2026-05-20,1702.96
O170,C12,2026-04-23,384.73
O171,C3,2026-03-08,1739.25
O172,C1,2026-02-24,111.18
O173,C5,2026-02-17,205.1
O174,C6,2026-05-26,348.92
O175,C10,2026-03-14,1871.17
O176,C0,2026-03-24,1164.92
O177,C5,2026-06-11,722.25
O178,C14,2026-04-07,1025.21
O179,C0,2026-02-09,1530.92
O180,C14,2026-01-10,1322.41
O181,C1,2026-03-22,537.33
O182,C0,2026-05-11,1352.14
O183,C4,2026-03-26,1272.53
O184,C9,2026-01-25,656.06
O185,C3,2026-02-15,1392.54
O186,C2,2026-05-24,1032.95
O187,C0,2026-03-06,704.88
O188,C8,2026-04-01,614.7
O189,C4,2026-05-09,996.59
O190,C13,2026-06-11,247.93
O191,C0,2026-06-02,1615.09
O192,C1,2026-06-06,1315.46
O193,C5,2026-01-07,1153.53
O194,C0,2026-05-08,1165.79
O195,C4,2026-05-15,507.18
O196,C4,2026-06-09,434.4
O197,C1,2026-06-05,857.45
O198,C13,2026-03-03,813.63
O199,C13,2026-03-04,992.26
O200,C8,2026-01-08,957.41
O201,C1,2026-05-22,661.43
O202,C2,2026-03-21,305.55
O203,C4,2026-01-27,1841.33
O204,C2,2026-03-28,1981.05
O205,C8,2026-05-25,1452.35
O206,C4,2026-03-06,257.31
O207,C12,2026-01-24,535.29
O208,C3,2026-02-16,591.0
O209,C13,2026-06-05,232.57
O210,C13,2026-06-03,712.04
O211,C10,2026-04-30,740.53
O212,C2,2026-03-11,1786.88
O213,C10,2026-05-14,1865.78
O214,C13,2026-04-28,208.93
O215,C11,2026-04-11,624.45
O216,C13,2026-04-26,66.07
O217,C4,2026-03-05,1593.68
O218,C10,2026-06-03,1200.49
O219,C9,2026-02-13,730.5
O220,C3,2026-01-07,1235.02
O221,C14,2026-01-08,345.15
O222,C5,2026-04-26,390.28
O223,C3,2026-01-06,1306.92
O224,C6,2026-04-03,860.22
O225,C5,2026-05-04,1522.43
O226,C11,2026-02-05,1735.19
O227,C2,2026-05-07,379.04
O228,C9,2026-02-28,1619.55
O229,C5,2026-05-06,190.66
O230,C6,2026-01-24,1606.32
O231,C0,2026-03-24,1713.97
O232,C7,2026-03-26,478.9
O233,C3,2026-03-16,498.02
O234,C10,2026-01-20,218.33
O235,C8,2026-02-08,196.29
O236,C0,2026-05-04,1939.51
O237,C7,2026-03-21,579.08
O238,C10,2026-04-06,1659.36
O239,C12,2026-04-11,483.5
O240,C14,2026-04-03,753.66
O241,C12,2026-02-16,858.17
O242,C0,2026-02-01,1132.36
O243,C10,2026-04-15,1188.29
O244,C4,2026-01-21,1467.23
O245,C2,2026-05-26,360.44
O246,C12,2026-04-21,1075.23
O247,C8,2026-06-02,1721.82
O248,C7,2026-05-16,1485.75
O249,C6,2026-02-16,1953.07
