Client,Amount,Fees,Pipeline Value
Client 33,"38,732.44 USD",3'317.13 CHF,$3.8M
Client 34,"15,952.21 USD",4'964.17 CHF,$2.5M
Client 35,"6,807.73 USD",1'030.61 CHF,$1.2M
Client 36,"4,242.62 USD",5'600.02 CHF,$3.8M
Client 37,"10,393.80 USD",2'427.41 CHF,$5.4M
Client 38,"51,055.97 USD",1'224.89 CHF,$1.2M
Client 39,"6,818.11 USD",2'148.49 CHF,$5.4M
Client 0,"20,016.47 USD",7'924.33 CHF,$3.8M
Client 1,"10,514.44 USD",4'775.78 CHF,$5.4M
Client 2,"27,984.60 USD",1'582.14 CHF,$1.2M
Client 3,"31,835.39 USD",2'512.72 CHF,$5.4M
Client 4,"50,877.42 USD",6'493.01 CHF,$5.4M
Client 5,"44,179.12 USD",8'537.51 CHF,$5.4M
Client 6,"15,032.02 USD",4'889.96 CHF,$1.2M
Client 7,"2,450.05 USD",1'149.44 CHF,$5.4M
Client 8,"54,960.36 USD",6'173.05 CHF,$2.5M
Client 9,"14,501.90 USD",8'357.75 CHF,$1.2M
Client 10,"25,604.31 USD",3'820.31 CHF,$3.8M
Client 11,"14,527.42 USD",8'105.71 CHF,$0.9M
Client 12,"2,057.20 USD",2'521.44 CHF,$5.4M
Client 13,"43,534.67 USD",6'255.27 CHF,$0.9M
Client 14,"58,868.03 USD",2'872.70 CHF,$2.5M
Client 15,"21,953.66 USD",3'888.05 CHF,$1.2M
Client 16,"27,303.03 USD",6'108.43 CHF,$5.4M
Client 17,"27,259.42 USD",4'427.64 CHF,$2.5M
Client 18,"7,186.57 USD",7'017.80 CHF,$1.2M
Client 19,"2,181.41 USD",5'706.67 CHF,$0.9M
Client 20,"33,308.25 USD",8'796.12 CHF,$5.4M
Client 21,"48,747.85 USD",1'187.12 CHF,$3.8M
Client 22,"10,574.19 USD",1'103.93 CHF,$0.9M
Client 23,"23,366.53 USD",1'110.10 CHF,$1.2M
Client 24,"5,478.27 USD",6'478.27 CHF,$5.4M
Client 25,"22,578.59 USD",5'227.44 CHF,$0.9M
Client 26,"50,814.38 USD",8'750.96 CHF,$3.8M
Client 27,"5,498.22 USD",1'696.31 CHF,$3.8M
Client 28,"5,372.19 USD",7'760.52 CHF,$1.2M
Client 29,"41,254.19 USD",5'275.66 CHF,$3.8M
Client 30,"13,830.76 USD",2'414.25 CHF,$3.8M
Client 31,"43,849.24 USD",7'459.35 CHF,$0.9M
Client 32,"16,908.79 USD",1'596.76 CHF,$1.2M
Client 33,"59,968.39 USD",2'452.71 CHF,$3.8M
Client 34,"40,552.42 USD",5'278.03 CHF,$1.2M
Client 35,"39,755.65 USD",3'999.73 CHF,$3.8M
Client 36,"23,182.57 USD",7'660.86 CHF,$2.5M
Client 37,"7,448.68 USD",2'016.29 CHF,$2.5M
Client 38,"44,065.27 USD",5'299.84 CHF,$5.4M
Client 39,"23,106.82 USD",3'302.49 CHF,$5.4M
Client 0,"49,488.53 USD",5'197.71 CHF,$5.4M
Client 1,"50,235.79 USD",1'771.64 CHF,$0.9M
Client 2,"44,689.84 USD",7'378.75 CHF,$1.2M
Client 3,"59,026.13 USD",6'242.15 CHF,$5.4M
Client 4,"25,839.71 USD",4'887.03 CHF,$2.5M
Client 5,"17,272.67 USD",3'771.15 CHF,$2.5M
Client 6,"19,119.29 USD",3'953.98 CHF,$5.4M
Client 7,"2,950.53 USD",6'154.36 CHF,$5.4M
Client 8,"15,886.74 USD",5'443.21 CHF,$5.4M
Client 9,"52,061.17 USD",8'413.13 CHF,$0.9M
Client 10,"39,789.81 USD",5'494.68 CHF,$0.9M
Client 11,"5,895.64 USD",7'634.31 CHF,$1.2M
Client 12,"32,333.28 USD",1'794.64 CHF,$3.8M
Client 13,"9,464.53 USD",1'861.81 CHF,$5.4M
Client 14,"22,237.15 USD",2'577.10 CHF,$5.4M
Client 15,"8,591.31 USD",7'953.57 CHF,$2.5M
Client 16,"22,348.58 USD",7'159.06 CHF,$5.4M
Client 17,"55,090.93 USD",1'570.22 CHF,$0.9M
Client 18,"41,972.81 USD",7'239.82 CHF,$3.8M
Client 19,"1,206.40 USD",7'949.20 CHF,$5.4M
Client 20,"37,891.56 USD",3'538.50 CHF,$5.4M
Client 21,"25,018.83 USD",8'510.05 CHF,$3.8M
Client 22,"36,007.51 USD",1'254.35 CHF,$2.5M
Client 23,"8,320.44 USD",3'308.11 CHF,$0.9M
Client 24,"6,202.06 USD",6'655.68 CHF,$1.2M
Client 25,"40,608.82 USD",6'219.84 CHF,$1.2M
Client 26,"26,859.01 USD",1'119.59 CHF,$3.8M
Client 27,"58,586.30 USD",8'008.59 CHF,$1.2M
Client 28,"8,037.49 USD",5'998.10 CHF,$0.9M
Client 29,"43,312.15 USD",5'656.43 CHF,$2.5M
Client 30,"22,639.79 USD",4'598.22 CHF,$1.2M
Client 31,"58,828.28 USD",6'057.03 CHF,$1.2M
Client 32,"31,393.43 USD",4'660.37 CHF,$2.5M
Client 33,"51,045.79 USD",2'307.26 CHF,$1.2M
Client 34,"41,541.82 USD",6'407.73 CHF,$0.9M
Client 35,"54,125.09 USD",7'691.25 CHF,$0.9M
Client 36,"1,264.66 USD",7'461.17 CHF,$1.2M
Client 37,"33,038.80 USD",4'351.96 CHF,$5.4M
Client 38,"29,232.44 USD",4'413.90 CHF,$0.9M
Client 39,"40,932.71 USD",1'650.09 CHF,$5.4M
Client 0,"41,988.21 USD",3'642.45 CHF,$1.2M
Client 1,"56,678.52 USD",6'128.34 CHF,$0.9M
Client 2,"26,673.48 USD",2'066.75 CHF,$3.8M
Client 3,"27,331.44 USD",3'532.93 CHF,$5.4M
Client 4,"31,900.52 USD",4'329.87 CHF,$1.2M
Client 5,"41,042.75 USD",1'424.84 CHF,$3.8M
Client 6,"31,285.02 USD",3'567.99 CHF,$0.9M
Client 7,"24,906.81 USD",2'347.67 CHF,$1.2M
Client 8,"26,005.67 USD",5'572.49 CHF,$3.8M
Client 9,"27,433.84 USD",3'318.51 CHF,$3.8M
Client 10,"3,549.29 USD",4'577.68 CHF,$2.5M
Client 11,"16,030.91 USD",5'317.98 CHF,$0.9M
Client 12,"24,835.63 USD",8'343.51 CHF,$5.4M
Client 13,"7,557.71 USD",3'166.90 CHF,$3.8M
Client 14,"14,326.07 USD",4'523.31 CHF,$5.4M
Client 15,"48,137.18 USD",4'936.86 CHF,$0.9M
Client 16,"44,570.34 USD",1'133.87 CHF,$0.9M
Client 17,"53,342.90 USD",1'805.23 CHF,$1.2M
Client 18,"38,079.61 USD",7'397.46 CHF,$5.4M
Client 19,"55,965.30 USD",8'007.34 CHF,$1.2M
Client 20,"51,971.10 USD",3'303.64 CHF,$5.4M
Client 21,"7,777.03 USD",4'637.17 CHF,$1.2M
Client 22,"2,125.98 USD",6'850.01 CHF,$0.9M
Client 23,"40,303.44 USD",4'199.58 CHF,$2.5M
Client 24,"54,958.09 USD",3'011.09 CHF,$5.4M
Client 25,"28,844.75 USD",8'154.02 CHF,$0.9M
Client 26,"2,795.25 USD",4'240.79 CHF,$1.2M
Client 27,"44,858.63 USD",8'155.97 CHF,$3.8M
Client 28,"51,229.95 USD",3'644.77 CHF,$1.2M
Client 29,"39,455.10 USD",5'731.80 CHF,$1.2M
